time,OD_1-1,OD_1-2,OD_1-3,OD_1-4,OD_1-5,OD_1-6,OD_1-7,OD_1-8,OD_1-9,OD_1-10,OD_1-11,OD_1-12,OD_1-13,OD_1-14,OD_2-1,OD_2-2,OD_2-3,OD_2-4,OD_2-5,OD_2-6,OD_2-7,OD_2-8,OD_2-9,OD_2-10,OD_2-11,OD_2-12,OD_2-13,OD_2-14,OD_3-1,OD_3-2,OD_3-3,OD_3-4,OD_3-5,OD_3-6,OD_3-7,OD_3-8,OD_3-9,OD_3-10,OD_3-11,OD_3-12,OD_3-13,OD_3-14,OD_4-1,OD_4-2,OD_4-3,OD_4-4,OD_4-5,OD_4-6,OD_4-7,OD_4-8,OD_4-9,OD_4-10,OD_4-11,OD_4-12,OD_4-13,OD_4-14,OD_5-1,OD_5-2,OD_5-3,OD_5-4,OD_5-5,OD_5-6,OD_5-7,OD_5-8,OD_5-9,OD_5-10,OD_5-11,OD_5-12,OD_5-13,OD_5-14,OD_6-1,OD_6-2,OD_6-3,OD_6-4,OD_6-5,OD_6-6,OD_6-7,OD_6-8,OD_6-9,OD_6-10,OD_6-11,OD_6-12,OD_6-13,OD_6-14,OD_7-1,OD_7-2,OD_7-3,OD_7-4,OD_7-5,OD_7-6,OD_7-7,OD_7-8,OD_7-9,OD_7-10,OD_7-11,OD_7-12,OD_7-13,OD_7-14,OD_8-1,OD_8-2,OD_8-3,OD_8-4,OD_8-5,OD_8-6,OD_8-7,OD_8-8,OD_8-9,OD_8-10,OD_8-11,OD_8-12,OD_8-13,OD_8-14,OD_9-1,OD_9-2,OD_9-3,OD_9-4,OD_9-5,OD_9-6,OD_9-7,OD_9-8,OD_9-9,OD_9-10,OD_9-11,OD_9-12,OD_9-13,OD_9-14,OD_10-1,OD_10-2,OD_10-3,OD_10-4,OD_10-5,OD_10-6,OD_10-7,OD_10-8,OD_10-9,OD_10-10,OD_10-11,OD_10-12,OD_10-13,OD_10-14,OD_11-1,OD_11-2,OD_11-3,OD_11-4,OD_11-5,OD_11-6,OD_11-7,OD_11-8,OD_11-9,OD_11-10,OD_11-11,OD_11-12,OD_11-13,OD_11-14,OD_12-1,OD_12-2,OD_12-3,OD_12-4,OD_12-5,OD_12-6,OD_12-7,OD_12-8,OD_12-9,OD_12-10,OD_12-11,OD_12-12,OD_12-13,OD_12-14,OD_13-1,OD_13-2,OD_13-3,OD_13-4,OD_13-5,OD_13-6,OD_13-7,OD_13-8,OD_13-9,OD_13-10,OD_13-11,OD_13-12,OD_13-13,OD_13-14,OD_14-1,OD_14-2,OD_14-3,OD_14-4,OD_14-5,OD_14-6,OD_14-7,OD_14-8,OD_14-9,OD_14-10,OD_14-11,OD_14-12,OD_14-13,OD_14-14
2020-09-25 03:36:38,0,3573,1927,940,5013,1506,768,1283,3243,1723,8303,6270,5921,4232,7224,0,1212,8051,2166,3577,782,6457,3320,2554,7823,4263,6778,7755,2420,982,0,670,783,1094,604,813,2546,1736,2740,2830,2042,950,2080,3696,2828,0,2962,3256,2421,2210,3426,8511,11168,7461,854,3965,1546,3044,9659,3160,0,1610,1358,1795,6449,2998,1440,7065,6265,7715,1100,1662,942,12452,13129,0,1303,2441,3316,3805,15549,10439,8102,1814,5188,4836,4036,784,1188,897,0,651,1492,1836,4892,4281,1888,1062,7538,1090,2710,4904,3046,1482,1032,0,2790,2090,7484,9269,4246,668,10650,3019,2101,2389,5087,8987,1064,11327,0,2934,1681,3029,3191,7374,3020,3338,1168,1892,10034,2435,971,2957,3276,0,12026,7750,4604,2083,11392,2661,4258,1813,2851,2447,996,9744,11195,1652,0,3321,9446,7710,17296,5527,12092,2722,11177,3595,2430,10449,1548,2068,1720,0,8909,9402,1421,2794,902,6760,2796,1127,703,1020,4145,6212,6506,5482,0,6092,741,2751,2603,2077,2872,1111,5729,1053,954,1425,5860,1234,1079,0
2020-09-25 03:37:38,0,3214,5064,3865,37272,7341,2268,3173,8289,8133,35628,35264,33485,20550,26688,0,4258,26602,20946,5157,1958,27762,6083,3025,27968,27445,25410,26412,2063,3627,0,2765,2106,4356,2623,2368,1940,2944,12026,9728,11009,3155,5570,4075,5942,0,17523,7723,3736,26293,9795,34805,41926,40128,3142,17723,3391,3383,39689,28848,0,4917,2918,9899,23434,6171,6910,33225,36014,33407,7572,5054,2592,49715,32214,0,3369,12150,11346,8625,52762,44020,52517,3371,19516,18687,18410,3378,5360,4277,0,2268,3580,3317,22850,13575,17984,3932,32557,3971,4879,29435,9223,3829,2418,0,8142,3261,21903,33616,21253,2618,37056,3875,7157,4489,49155,38586,2791,37898,0,8106,3474,5658,9236,31212,7699,3328,2922,7178,52521,7794,3017,9391,9297,0,50574,27033,52803,5263,45951,3540,6781,3384,21135,9068,3120,47201,52358,3768,0,5842,48909,45359,54638,4429,56671,6938,59712,6690,7490,47322,5712,10085,4898,0,55064,53333,4324,2718,2511,29588,10932,4013,1972,6202,3416,28761,20558,23489,0,26611,3028,2277,2932,2244,14641,3690,24515,2406,3474,2489,17389,4722,1944,0
2020-09-25 03:38:38,0,3152,7538,3403,36122,6857,2390,3156,7098,16582,34358,33827,17893,12247,25762,0,4112,26228,25657,6084,2068,26493,5312,4430,26530,27447,24587,24334,3648,3519,0,2492,2030,5163,1496,5367,2988,4350,16713,12482,14779,3212,6864,3985,4526,0,23550,6777,3434,15330,8665,40689,43458,42584,2798,4735,3081,3799,39782,15990,0,5341,2583,9198,22549,9408,4266,31287,34628,32814,6091,5504,2466,48604,26351,0,2938,13975,9832,5814,50316,44180,41254,3300,22079,19765,20983,2530,3418,2852,0,2473,2692,4143,21840,7183,20418,3582,28705,5922,3236,25037,6933,4001,2265,0,7260,3706,15892,32034,21196,2348,35089,3687,7250,4274,43549,36239,2812,35985,0,8420,3348,8760,7772,18988,6517,3144,2336,9533,31948,6958,2180,9317,7960,0,48058,30967,47163,6513,43213,4187,6719,3308,28561,8681,3020,46514,47378,3495,0,8343,44299,47708,53192,3919,55370,8528,48050,8528,7083,41932,6523,10112,4347,0,41719,53462,4088,2629,1750,26780,16969,7380,2014,6510,10531,26965,15576,13967,0,23523,2824,2454,3232,1801,15759,3393,23954,1998,3238,3954,10572,3025,3173,0
2020-09-25 03:39:38,0,3878,13358,3126,32253,7014,2284,2990,7041,37129,34372,34321,16882,21082,26688,0,4364,26231,26392,4854,2036,27100,4534,2528,27500,26977,25091,26530,3505,3559,0,2737,2034,5910,1565,2369,2790,4682,17908,2848,14565,2323,6876,4012,3591,0,24687,7407,5793,25026,12135,40474,45004,42533,3066,23021,2646,3415,39306,14717,0,5101,2655,9828,22449,4132,4390,35069,34668,20848,6472,4230,2520,49519,28128,0,3245,11714,7339,658,50877,49008,40724,3016,22077,19926,20981,2542,4903,2696,0,2516,2711,6026,21832,13991,6724,4299,28613,6222,3965,32062,9963,3361,2185,0,6874,4036,12630,32588,16955,2342,34852,3757,6793,6634,43973,37043,2796,34744,0,2224,3344,4458,11287,27084,4259,3373,2122,38753,48552,7117,2290,8820,6393,0,49114,30307,47855,21147,45395,3959,5157,3380,28114,9263,3026,50340,47404,3613,0,3994,43224,48218,54602,3875,56374,3474,57868,4084,7443,40337,6831,11219,4010,0,47222,53940,4688,2907,1750,28138,17772,9594,2021,7806,6940,28135,15594,18669,0,28146,2868,2714,2197,3805,18524,3485,25028,2299,3171,5370,15372,3069,2704,0
2020-09-25 03:40:38,0,3119,7402,5691,36712,7185,2234,2822,7130,36904,34836,29334,17887,18152,26233,0,4254,26702,25739,5935,2024,27859,5538,5342,26530,27454,25059,26544,2895,3623,0,2575,2030,2824,1566,2253,2021,5584,18656,3230,15037,3285,3188,3484,7184,0,22844,7705,2318,26491,5656,15169,43932,44198,2775,6457,2646,3329,38818,12934,0,4779,2711,8717,20505,1782,5430,36217,35532,22413,10539,4013,2355,49233,23662,0,2824,14038,3524,2314,49846,50410,42854,3155,22308,21576,21710,3194,3805,2628,0,2524,2698,5570,22074,11829,6864,3125,27641,3940,2574,30545,8170,3292,2088,0,10528,3357,21334,31617,20554,2411,31072,3389,13085,5443,45940,29850,2918,29927,0,2702,3420,3672,4698,17640,3024,3317,3209,50696,49962,12181,2148,7951,1782,0,48112,22016,48201,48844,46268,3436,8882,3276,26883,13063,3297,48181,47960,3606,0,3793,37539,48696,53206,5521,56677,3542,57714,5250,8826,54071,6980,8672,4071,0,39819,53012,5048,2477,1816,28182,14774,4583,1996,8014,9278,19229,19111,11439,0,27660,3071,2239,3229,3108,16680,2804,23820,2550,3449,4665,12293,3037,11958,0
2020-09-25 03:41:38,0,3429,7471,4372,36636,5712,2422,2920,4811,37926,35792,34358,34238,7460,26233,0,4254,26243,26591,5930,1970,27765,4097,2603,26052,26118,25474,27486,2817,3542,0,2827,1998,2953,1534,5004,2593,4650,14842,4957,16997,3191,3054,4927,7370,0,24094,6327,2282,21174,3250,43592,43444,43662,2825,6854,2664,3568,39266,8502,0,5596,2892,9026,22053,2720,4882,39005,35518,32203,7723,2838,2425,49321,38053,0,2886,9370,3546,9694,52056,47839,35478,3005,21846,21084,21736,2430,4411,2664,0,2524,2712,4172,21606,11793,7607,4364,31576,5479,4427,11149,9939,4014,2448,0,5096,2590,15554,32570,23832,2350,45137,4792,6540,4708,35798,45345,2636,44075,0,2698,3420,4917,3420,25451,3078,3230,2943,49384,49302,50153,2086,8126,2550,0,48626,26761,44712,49214,46199,3443,3946,3272,28224,51663,2608,48972,48922,3585,0,5364,43284,47762,52746,4837,57800,3560,57213,7238,7486,56193,5252,10398,4130,0,38576,53922,2710,2736,1768,27719,19603,13713,1956,5434,5472,21632,15794,18761,0,27650,2842,2523,2360,3745,14971,2871,24059,2102,3238,2242,17188,3046,3188,0
2020-09-25 03:42:38,0,3718,12207,4733,36712,23914,2183,2924,2862,35961,32735,35314,36650,19546,26258,0,4130,26228,26672,3589,2134,27942,3342,1907,27504,26539,24144,27971,3873,3568,0,2348,2034,2972,1487,3888,2498,4186,14880,3058,14907,3703,2712,3973,2163,0,23005,6580,6377,29786,3239,42153,43462,43221,2894,6543,2646,4010,39786,10491,0,5306,2452,10312,15466,2850,4630,35228,34588,30339,4690,3277,2579,49062,30828,0,2964,12344,3474,8294,51509,45776,35857,4275,22878,21084,21714,3955,4260,2790,0,2128,2714,2274,21818,11177,8603,3923,31540,3950,5262,24372,10309,3666,2448,0,2790,4237,15919,32610,32634,2346,46247,4328,7534,3985,45603,46273,2615,47023,0,10898,3416,6827,3173,16379,4785,3997,2084,49831,48419,49840,1987,9618,2754,0,48140,34290,48252,49196,46268,4011,2854,3290,25829,49660,2975,47793,48918,3559,0,5587,47977,50166,53246,4047,56392,3510,58296,4449,7091,57770,5445,9850,4308,0,38631,53020,2286,2411,1883,27723,17016,8662,2124,7340,7457,27719,15814,20857,0,27650,2754,2277,3292,3114,20499,3707,24543,2209,3168,1764,13322,3043,9030,0
2020-09-25 03:43:38,0,3144,7249,3419,37754,36723,2196,2962,3684,36299,34836,34836,36166,14182,26688,0,4110,26224,27021,5295,1852,28604,1262,2005,27012,27653,25029,27008,3476,3505,0,3138,2030,2870,1560,3119,1541,2260,18356,3223,17947,3338,2825,4740,2230,0,23170,6611,2900,34485,3574,41202,43946,44356,2925,6847,2714,4104,39298,16803,0,4730,3026,8304,23311,10394,5615,33601,34650,32664,6197,5913,2565,48320,35568,0,2882,10761,3556,10893,52961,45094,35643,2768,22384,20606,21252,3208,4073,2674,0,2132,2761,1746,21822,12903,17376,3480,31098,4009,5725,32102,10173,4178,2054,0,2754,3615,21666,33077,32634,2766,46382,3600,6498,4862,42660,47510,2589,45740,0,7982,3416,4265,2678,22508,8299,3267,1998,50238,48335,48139,1900,8210,3326,0,49086,28284,45942,49698,46268,3454,9814,3290,31419,49709,2998,44796,48886,3546,0,3798,47207,46788,53228,4109,54833,3596,57926,7345,7371,57376,6988,8886,4713,0,41817,54896,2286,2656,1938,27755,13505,8512,1878,7258,10753,27928,11439,16764,0,27650,2988,2266,5180,2720,18619,3663,23988,2194,3332,1782,13047,3101,2107,0
2020-09-25 03:44:38,0,3403,6287,3766,36918,35940,2132,2683,3294,33901,32446,34133,36646,17134,25760,0,4108,25770,27103,7898,1880,27037,1252,1757,28963,27189,25428,27008,2160,3591,0,3297,2052,4209,1520,2383,1487,1656,19521,3266,17039,3447,2825,3755,9319,0,28119,7683,3396,17668,3168,41907,43914,43993,2870,6089,2556,3575,39264,10264,0,5459,2933,8710,20164,7272,5071,33434,33765,36859,5338,4432,2281,49586,28471,0,2822,11724,3546,3217,50314,45518,48786,3265,22344,21066,21714,3714,4843,2646,0,2316,2640,1638,21876,16138,19662,4266,27631,4601,1778,32587,7039,4056,2204,0,2786,2787,14818,30848,32630,2447,46942,3561,6190,4394,41817,48038,2536,46830,0,8898,3420,4610,2648,18202,8630,2833,2509,49710,47599,47820,1786,9189,3639,0,48094,22875,42523,46383,47106,3827,4682,3258,31339,48670,3062,50146,48924,4417,0,6921,46592,47740,53724,4336,55382,3560,58328,5242,7317,57404,6645,8940,5494,0,53110,53066,2282,3164,2393,27280,16340,8980,1898,7932,9098,19582,22860,19170,0,27678,3017,2463,4718,2552,26536,3188,24542,2089,3499,2676,9009,3089,7258,0
2020-09-25 03:45:38,0,3208,9858,4370,36176,35259,2140,3083,2880,35433,35314,34794,37134,18747,26736,0,15779,26238,26486,4149,1890,26786,1429,8988,27500,27056,25048,27500,1758,3672,0,2138,2459,3728,1704,3488,2618,1760,16194,3302,16132,4048,2808,3433,2301,0,27816,6845,2498,19919,3959,42804,44430,44632,2821,6304,2678,3509,39538,9686,0,5256,2423,11255,22028,7550,4897,33708,35550,29001,5769,5643,2627,47958,40186,0,2792,12949,11828,2829,52537,36561,49619,3373,22344,21098,21728,3025,3421,2682,0,2473,2674,2738,22332,8568,22594,4082,29095,6201,1997,31193,7807,3608,2353,0,3204,3532,19978,27534,21738,2370,46440,3571,6189,4619,45437,48020,2535,47820,0,4560,3416,6914,3460,19807,8944,3653,3597,40269,50615,48342,2048,8782,5722,0,48678,30096,48589,46568,46286,3536,3446,3290,33579,49726,3052,49376,48204,3653,0,5267,43613,47816,53228,4440,52433,7792,58759,11375,6812,56856,5475,10531,4530,0,38032,55374,2286,2695,2022,27759,16342,8538,1892,5234,8263,20130,13364,9894,0,27650,2772,2989,5359,2559,26034,3560,23983,2143,3150,1782,18704,3097,6781,0
