dataset,config,mean_mse,std_mse,mean_mae,mean_rmse
ABILENE,full_3branch,2.949246205595794,0.1783177462440749,22.702811950851476,0.05428165376644264
ABILENE,no_global_branch,2.2809860975247696,0.43761491893326143,19.28625430101088,0.04756501486342146
ABILENE,no_ml_branch,3.7954494887017995,0.007097003285473559,28.754892011864353,0.0616071925467601
ABILENE,static_average,3.1864228416198745,0.38494560804635397,24.861467675032223,0.056353445266891546
GEANT,full_3branch,0.8010348341648337,0.023936482292555194,5.451367895293518,0.02829938389958376
GEANT,no_global_branch,0.7481322290442567,0.001101809881326371,5.544911191060623,0.02735199852456697
GEANT,no_ml_branch,0.7460319001351687,0.00014188053304853821,5.408576658092029,0.027313584411223217
GEANT,static_average,0.7601242554330352,0.0008111517753917769,5.4224315192886285,0.027570347096046183
SDN,full_3branch,6.729972538891612,0.2409382638327049,47.684136192036355,0.08202331740521271
SDN,no_global_branch,8.078516806374145,0.01909127689686619,51.969892353872815,0.08988050702039815
SDN,no_ml_branch,14.795745732739192,0.15306391013562975,65.12734539897303,0.12163613290449252
SDN,static_average,9.93498453400589,0.07081268875793595,55.65405469332018,0.09967375834899667
