Dataset,Model,Runs,MSE (x10^-3),MSE 95% CI,MAE (x10^-3),MAE 95% CI,RMSE,RSE,MAPE,Inference Time (ms)
SDN,CatBoost (Module A),5,8.437 ± 0.020,"[8.410, 8.465]",55.752 ± 0.059,"[55.671, 55.834]",0.0919 ± 0.0001,0.0808,0.3090,1.18 ± 0.22
SDN,LightGBM (Module A),5,5.543 ± 0.712,"[4.554, 6.531]",39.134 ± 0.655,"[38.226, 40.043]",0.0743 ± 0.0048,0.0531,0.2054,2.72 ± 0.10
SDN,LocalSpatialTCN,5,15.136 ± 0.041,"[15.079, 15.192]",66.689 ± 0.062,"[66.604, 66.775]",0.1230 ± 0.0002,0.1449,0.3058,1.81 ± 0.24
SDN,ST-Adaptive-Ensemble (Proposed),5,6.730 ± 0.241,"[6.395, 7.064]",47.684 ± 0.753,"[46.638, 48.730]",0.0820 ± 0.0015,0.0644,0.2347,0.02 ± 0.01
SDN,ST-WaveFormer,5,15.564 ± 0.201,"[15.284, 15.843]",66.113 ± 1.001,"[64.723, 67.503]",0.1248 ± 0.0008,0.1490,3675.5502,3.75 ± 0.15
SDN,ST-WaveNet-Hybrid,5,15.685 ± 0.243,"[15.348, 16.023]",66.689 ± 1.230,"[64.983, 68.396]",0.1252 ± 0.0010,0.1502,4525.6074,4.77 ± 0.59
SDN,XGBoost (Module A),5,5.511 ± 0.028,"[5.472, 5.550]",43.509 ± 0.117,"[43.347, 43.671]",0.0742 ± 0.0002,0.0528,0.2239,1.99 ± 0.09
GEANT,CatBoost (Module A),5,0.914 ± 0.000,"[0.913, 0.915]",5.907 ± 0.011,"[5.892, 5.922]",0.0302 ± 0.0000,0.1642,1.6411,0.99 ± 0.24
GEANT,LightGBM (Module A),5,0.919 ± 0.003,"[0.915, 0.924]",6.004 ± 0.022,"[5.974, 6.035]",0.0303 ± 0.0001,0.1651,1.6894,1.02 ± 0.04
GEANT,LocalSpatialTCN,5,0.854 ± 0.000,"[0.853, 0.854]",5.636 ± 0.002,"[5.633, 5.639]",0.0292 ± 0.0000,0.1534,1.0708,1.71 ± 0.20
GEANT,ST-Adaptive-Ensemble (Proposed),5,0.801 ± 0.024,"[0.768, 0.834]",5.451 ± 0.037,"[5.400, 5.503]",0.0283 ± 0.0004,0.1439,1.1578,0.01 ± 0.00
GEANT,ST-WaveFormer,5,0.864 ± 0.002,"[0.862, 0.866]",5.371 ± 0.006,"[5.363, 5.379]",0.0294 ± 0.0000,0.1552,4449.2966,3.74 ± 0.27
GEANT,ST-WaveNet-Hybrid,5,0.735 ± 0.004,"[0.729, 0.740]",5.367 ± 0.012,"[5.351, 5.383]",0.0271 ± 0.0001,0.1320,4794.9968,5.18 ± 0.48
GEANT,XGBoost (Module A),5,0.914 ± 0.003,"[0.910, 0.918]",5.858 ± 0.010,"[5.844, 5.871]",0.0302 ± 0.0000,0.1642,1.5692,0.83 ± 0.18
ABILENE,CatBoost (Module A),5,2.780 ± 0.171,"[2.542, 3.018]",22.326 ± 9.742,"[8.801, 35.850]",0.0527 ± 0.0016,0.1623,0.8879,1.46 ± 0.29
ABILENE,LightGBM (Module A),5,2.899 ± 0.065,"[2.809, 2.989]",22.055 ± 8.810,"[9.825, 34.286]",0.0538 ± 0.0006,0.1657,0.8076,1.73 ± 0.34
ABILENE,LocalSpatialTCN,5,2.361 ± 0.000,"[2.361, 2.362]",17.859 ± 0.001,"[17.858, 17.860]",0.0486 ± 0.0000,0.1178,0.2984,1.53 ± 0.11
ABILENE,ST-Adaptive-Ensemble (Proposed),5,2.949 ± 0.178,"[2.702, 3.197]",22.703 ± 1.397,"[20.763, 24.642]",0.0543 ± 0.0017,0.1471,0.5040,0.00 ± 0.00
ABILENE,ST-WaveFormer,5,2.460 ± 0.004,"[2.454, 2.466]",17.414 ± 0.023,"[17.382, 17.445]",0.0496 ± 0.0000,0.1222,7374.0765,3.14 ± 0.04
ABILENE,ST-WaveNet-Hybrid,5,1.977 ± 0.012,"[1.960, 1.994]",16.988 ± 0.007,"[16.978, 16.998]",0.0445 ± 0.0001,0.0983,7453.6906,4.60 ± 0.41
ABILENE,XGBoost (Module A),5,2.766 ± 0.008,"[2.755, 2.777]",21.872 ± 8.807,"[9.645, 34.098]",0.0526 ± 0.0001,0.1589,0.8225,1.76 ± 0.49
